id,P000804,P000805,P000806,P000807
f08e3d986bf44f8eaa9dd7bef6b361e4,Abhidharmasamuccaya,大乘阿毘達磨集論 無著菩薩造 三藏法師玄奘奉　詔譯,.,.
d1a57a541bff4522a64a01704e28f000,II. satyaviniścayo nāma dvitīyaḥ samuccayaḥ,卷第四 決擇分中諦品第一之二,.,.
b9209862c90944849bc691ba6d246be3,karma katamat | cetanākarma cetayitvā ca karma saṃkṣiptaṃ karmalakṣaṇam1 ||  api khalu pañcavidhaṃ karma | upalabdhikarma kāritrakarma vyavasāyakarma pariṇatikarma prāptikarma ca | asmiṃs tv arthe yadbhūyasā vyavasāyakarmābhipretam ||,云何煩惱增上所 生諸業。謂若思業若 思已業。總名 業相。  又有五種業。一取受業。 二作用業。三加行業。四轉變業。五證 得業。  今此:義中意多分別加行業。,ལས་གང་ཞེ་ན་། སེམས་པའི་ལས་དང་། བསམས༡པའི་ལས་ཏེ༢། ལས་ཀྱི༣མཚན་ཉིད་མདོར་བསྡུས༤པའོ་༎ ཡང་ལས་རྣམ་པ་ལྔ་སྟེ་། དམིགས་པའི་ལས་དང་། བྱེད་པའི་ལས་དང་། རྩོལ་བའི་ལས་དང་། བསྒྱུར༥བའི་ལས་དང་། འཐོབ་པའི་ལས་སོ་༎ སྐབས༔་འདིར་ནི༦ཕལ་ཆེར་རྩོལ་བའི་ལས་སུ་འདོད་དོ་༎,"What is action (karman)? It is the action that is intention (cetanā) and the action after having intended (cetayitvā). That is the condensed definition of action.  Moreover, action is also of five kinds: the action that is perception (upalabdhikarman), the action that is efficacy (kāritrakarman), the action that is determination (vyavasāyakarman), the action that is transformation (pariṇatikarman) and the action that is obtainment (prāptikarman).  In this context, however, the action that is determination is meant mainly."
65b4b0a5adcd49a09c0a26f919e1d639,cetanākarma katamat | cittābhisaṃskāro manaskarma | puṇyam apuṇyam āniṃjyaṃ ca ||  cetayitvā karma katamat | kāyakarma vākkarma manaskarma ca ||  tāni punaḥ kāyavāṅmanaskarmāṇi kuśalāny akuśalāni ca |  akuśalāni daśākuśalāḥ karmapathāḥ | tadyathā prāṇātipāto ’dattādānaṃ kāmamithyācāro mṛṣāvādaḥ paiśunyaṃ pāruṣyaṃ saṃbhinnapralāpo ’bhidhyā vyāpādo mithyādṛṣṭiś ca |  kuśalāni daśa kuśalāḥ karmapathāḥ | tadyathā prāṇātipātād viratir yāvad saṃbhinnapralāpād viratir anabhidhyāvyāpādaḥ samyagdṛṣṭiś ca || prāṇātipātādīnāṃ lakṣaṇaṃ vastuta āśayataḥ prayogataḥ kleśato niṣṭhāgamanataś cāpi veditavyam ||  yad uktaṃ saṃcetanīyaṃ karmeti | tatra katamā saṃcetanīyatā |,何等思業。謂福業非福業不動業。  何等思已業。謂身業語業意業  又此身語意三業。或善或不善。  不善者即十不善業道。謂殺生不與取欲邪行虛誑語離間語麁惡語雜穢語貪欲瞋恚邪見。  善者即:十善業道。謂離殺生離不與取離欲邪行離:虛誑語離離間語離麁惡語離雜穢語無貪無:瞋正見  又殺生等應以五門分別其相。謂事故。意樂:故。方便故。煩惱故。究竟故。  如契經言故思造業。云何名爲故思造業。,སེམས་པའི་ལས༧གང་ཞེ་ན༨། སེམས་མངོན་པར་འདུ་བྱེད་པ༩ཡིད་ཀྱི་ལས་ཏེ་། བསོད༡༠ནམས་དང་། བསོད་ནམས་མ་ཡིན་པ་དང་། མི་གཡོ་བའོ་༎ བསམས༡༡པའི་ལས༔་གང་ཞེ་ན༡༢། ལུས་ཀྱི་ལས་དང་། ངག་གི་ལས་དང་། ཡིད་ཀྱི་ལས་སོ་༎ ལུས་ཀྱི་ལས་དང་། ངག་གི་ལས་དང་། ཡིད་ཀྱི་ལས་དེ༡༣ཡང་དགེ་བ་དང་མི་དགེ་བའོ༡༤༎ མི་དགེ་བ་ནི་མི་དགེ་བའི་ལས་ཀྱི་ལམ་བཅུ་སྟེ་། འདི་ལྟ་སྟེ་།༔་སྲོག་གཅོད་པ་དང་། མ་བྱིན་པར་ལེན་པ་དང་། འདོད་པས༡༥ལོག་པར་གཡེམ་པ་དང་། རྫུན༡༦དུ་སྨྲ་བ་དང་། ཕྲ་མ་དང་། ངག་རྩུབ་མོ༡༧དང་། ཚིག་ཀྱལ་པ༡༨དང་། བརྣབ་སེམས་དང་། གནོད་སེམས་དང་། ལོག༡༩པར་ལྟ་བའོ་༎ དགེ་བ་ནི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རྣམས་ཏེ་། འདི་ལྟ་སྟེ་། སྲོག་གཅོད་པ་སྤོང་བ་ནས་ཚིག་ཀྱལ༢༠པའི་བར་དུ་སྤོང་བ་དང་། བརྣབ་སེམས་མེད་པ་དང་། གནོད་སེམས་མེད་པ་དང་། ཡང་དག་པར༢༡ལྟ་བའོ་༎ སྲོག་གཅོད་པ་ལ་སོགས་པ་རྣམས་ཀྱི་མཚན་ཉིད་ནི་གཞི་དང་། བསམ་པ་དང་། སྦྱོར་བ་དང་། ཉོན་མོངས་པ་དང་། ཟིན་པར་བྱས་པས་ཀྱང་རིག་པར་བྱའོ་༎ སེམས་པ་ལས་གྱུར་པའི་ལས་ཤེས༢༢གང་བྱུང༢༣བ་དེ་ལ༢༤། སེམས་པ་ལས་གྱུར་པ་གང་ཞེ་ན༢༥།,"What is the action of intention (cetanākarman)? It is an action of the mind that is a thought impulse (cittābhisaṃskāra). It is meritorious, demeritorious, or leading to immovability.  What is the ""action after having intended""? It is bodily, verbal and mental action.  Moreover, those actions of body, speech and mind are either wholesome (kuśala) or unwholesome (akuśala).  Unwholesome actions are the ten unwholesome paths of action (karmapatha), namely: killing, taking what has not been given, sexual misconduct, lying, slander, harsh words, idle prattle, covetousness, harmful intent and wrong view.  Wholesome are the ten wholesome paths of action, namely, abstaining from killing etc., up to abstaining from idle prattle, as well as absence of covetousness, absence of harmful intent and right view.  The characteristics of killing and so on are also to be understood from the viewpoints of object (vastu), disposition (āśaya), preparation (prayoga), defilement (kleśa) and completion (niṣṭhāgamana).  In the sūtras ""intentional action"" has been mentioned. What is that intentionality (saṃcetanīyatā)?"
dd33898b0e2b40e7b7e561cbcd7b6dab,parājñaptisaṃcetanīyatā parasaṃjñaptisaṃcetanīyatāvijñāyasaṃcetanīyatā mūlābhiniveśasaṃcetanīyatā viparyāsasaṃcetanīyatā ca |  tatra mūlābhiniveśasaṃcetanīyasya viparyāsasaṃcetanīyasya ca karmaṇaḥ kṛtasyopacitasya vipāko nāpratisaṃvedanīyaḥ | kṛta  kriyā karmaṇaḥ samudācāraḥ | upacayo vāsanāvṛddhiḥ ||  yad uktaṃ niyatavedanīyaṃ karma iti | tatra niyamaḥ katamaḥ |,謂:他所教勅1故思造業。他所勸請故思造業。無:所了知故思造業。根本執著故思造業。顛倒:分別故思造業。  此中根本執著故思造業。顛:倒分別故思造業。若作若增長非不受異熟。  作者。謂起造諸業令其現行。增長者。謂令習:氣增益  如契經言決定受業。云何名爲決定受業。,གཞན་གྱིས༢༦བསྒོ་བ་སེམས་པ་ལས་གྱུར་པ་དང་། གཞན་གྱིས་གསོལ་བ་བཏབ་པ་སེམས་པ་ལས་གྱུར་པ་དང་། མི་ཤེས་པའི་སེམས་པ་ལས་གྱུར་པ་དང་། རྩ་བ་ལ་མངོན་པར་ཞེན་པའི་སེམས་པ་ལས་གྱུར་པ་དང༢༧། ཕྱིན་ཅི་ལོག་གི་སེམས་པ་ལས་གྱུར་པའོ་༎ དེ་ལ་རྩ་བ་ལ་མངོན་པར་ཞེན་པའི་སེམས་པ་ལས་གྱུར་པ་དང་། ཕྱིན་ཅི་ལོག་གི་སེམས་པ་ལས་གྱུར་པའི་ལས་བྱས་ཤིང་བསགས་པའི་རྣམ་པར་སྨིན་པ་ནི༢༨མྱོང་བར་མི་འགྱུར་བ་མ་ཡིན་ནོ་༎ ལས་ཀྱི༢༩བྱེད་པ་ནི་ཀུན་ཏུ་སྤྱོད༣༠པའོ་༎ བསགས་པ་ནི་བག་ཆགས་འཕེལ་བའོ༣༡༎ མྱོང་བར་ངེས་པའི་ལས་ཤེས༔་གང་འབྱུང༣༢བ་དེ་ལ༣༣། ངེས་པ་གང་ཞེ་ན༣༤།,"It is (1.) intentionality due to the command of others, (2.) intentionality due to the persuasion of others, (3.) intentionality without having understood, (4.) intentionality due to intense fixation because of the roots of the unwholesome actions and (5.) intentionality due to a mistake.  Here, when the karman of intentionality due to intense fixation on the roots and the karman of intentionality due to a mistake are done and heaped up, their ripening is not something that is not to be experienced as a future unpleasant result.  The performing of actions is doing them. Heaping up is the increase of the imprints.  As for what has been said in the sūtra ""karman that is certainly to be experienced"": What is that ""certainty""?"
e219c7d2f44b436a97917c7f7f7ae0d2,karmakriyāniyamo vipākapratisaṃvedanāniyamo ’vasthāniyamaś ca ||,謂:作業決定。受異熟決定。分位決定。,ལས་བྱེད་པར་ངེས་པ་དང་། རྣམ་པར་སྨིན་པ་མྱོང་བར་ངེས་པ་དང་། དུས་ངེས་པའོ་༎,"It is (1.) the certainty of doing the action, (2.) the certainty of experiencing the ripening and (3.) the certainty of time."
38fee16f61914088ab1d32de7aa61400,tatra daśānām akuśalānāṃ karmapathānāṃ vipākaphalam apāyeṣu | niṣyandaphalaṃ manuṣyeṣu pratyekam ānurūpyeṇātmabhāvaparigrahavipattiḥ | adhipatiphalaṃ pratyekam ānurupyeṇaiva bāhyabhāvāvipattiḥ |  tac ca yathāsūtram | daśānāṃ kuśalānāṃ karmapathānāṃ vipākaphalaṃ devamanuṣyeṣu | niṣyandaphalaṃ teṣv eva pratyekam ānurūpyeṇātmabhāvaparigrahasaṃpattiḥ ||  adhipatiphalaṃ teṣv eva pratyekam ānurūpyeṇa bāhyānāṃ bhāvānāṃ saṃpattiḥ ||  kuśalākuśalasya karmaṇaḥ sugatidurgatyor upapattyākṣepaṇam paripūraṇaṃ ca karma veditavyam |  ākṣepaṇaṃ yena vipākam ākṣipati |  paripūraṇaṃ yenopapanna iṣṭāniṣṭam pratisaṃvedayate |,十不善業道異熟果者。於三惡趣中隨下中上品。受傍生餓鬼那落迦異熟。  等流果者。各隨其相於人趣中感得自身衆具衰損。  增上果者。各隨其相感得所有外事衰損。  廣說如經  十善業道異熟果者。於人天趣中受人天異:熟。  等流果者。即於彼處各隨其相感得自身衆具興盛。  增上果者。即於彼處各隨其相。感得所有外事興盛  善不善業。於善趣惡趣中感生異熟時。有招引業圓滿業。  招引業者。謂由此業能感2異熟果。  圓滿業者。謂由此業生已領受愛不愛果。,དེ་ལ་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རྣམས་ཀྱི་རྣམ་པར་སྨིན་པའི་འབྲས་བུ་ནི༔་ངན་སོང་རྣམས་སུའོ་༎ རྒྱུ་མཐུན་པའི་འབྲས་བུ་ནི་སོ་སོ་དང་མཐུན་པར༣༥མིའི་ལུས་དང་ཡོངས་སུ་གཟུང་བ་མི༣༦འབྱོར་པའོ་༎ དབང་གི༣༧འབྲས་བུ་ནི་སོ་སོ་དང་མཐུན་པ་ཉིད་དུ་ཕྱིའི་དངོས་པོ་མི་འབྱོར་བའོ་༎ དེ་ཡང་མདོ་ལས་ཇི་སྐད་དུ༣༨ དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རྣམས་ཀྱི་རྣམ་པར་སྨིན་པའི་འབྲས་བུ་ནི་ལྷ་དང་མི་རྣམས་ཀྱི་ནང་དུའོ་༎ རྒྱུ་མཐུན་པའི་འབྲས་བུ་ནི་དེ་དག་ཉིད་དུ་སོ་སོ་དང་མཐུན༔་པར་ལུས་དང་།  ཡོངས་སུ་གཟུང༣༩བ་ཕུན་སུམ་ཚོགས་པའོ་༎ དབང་གི༤༠འབྲས་བུ་ནི་དེ་དག་ཉིད་དུ་སོ་སོ་དང་མཐུན་པར༤༡ཕྱིའི་དངོས་པོ་ཕུན་སུམ་ཚོགས་པའོ༤༢༎ དགེ་བ་དང་མི་དགེ་བའི་ལས་ཀྱིས༤༣ནི་བདེ་འགྲོ་དང་ངན་འགྲོར་སྐྱེ་བའི༤༤འཕེན་པ་དང་། ཡོངས་སུ་རྫོགས་པར་བྱེད་པའི་ལས་སུ་རིག་པར་བྱའོ་༎ འཕེན་པ་ནི་གང་གིས༤༥རྣམ་པར་སྨིན་པ་འཕེན་པའོ་༎ ཡོངས་སུ་རྫོགས་པར་བྱེད་པ་ནི་གང་གིས༔་སྐྱེས་པ་ན༤༦འདོད་པ་དང་མི་འདོད་པ་མྱོང་བའོ་༎,"The fruit of ripening of the ten unwholesome paths of action is to be experienced in the bad destinies.  The concordant fruit is that the body and the possessions of those being reborn among men are wretched, each one of them in a way that corresponds to the respective bad action performed.  The sovereign fruit is that external objects are wretched, one by one, according to the respective original action.  As it is said in the sūtra,  The fruit of ripening of the ten wholesome paths of action is to be experienced among gods or humans.  The concordant fruit is that body and possessions of those being reborn in exactly those good destinies are excellent, one by one, according to the respective original action.  The sovereign fruit is that the external objects of those being reborn in exactly those good destinies are excellent, one by one, according to the respective original action.  It is to be understood that wholesome and unwholesome karman has the function (karman) of entailing and fulfilling rebirth in a good or bad destiny.  ""Entailing"" is the function through which karman entails ripening.  Fulfilling is the function through which, once one is reborn, one experiences what is wanted or unwanted."
1fd55caf77864d208c0df3587753a9f1,asty karmaikena karmaṇā ekam ātmabhāvam ākṣipati | asty karmaikena karmaṇānekam ātmabhāvam ākṣipati | asty karmānekena karmaṇaikam ātmabhāvam ākṣipati | asty karmānekena karmaṇānekam ātmabhāvam ākṣipati ||  bahukarmasamanvāgataḥ sattvaḥ kathaṃ krameṇa vipākaphalaṃ pratisaṃvedayati |  tatra yad gurutaraṃ tad ādau vipacyate | yad vā maraṇakāle abhimukhībhūtam | yad vābhyastam | yad vā prathamaṃ samācaritam tad ādāv eva vipacyate ||  yad uktaṃ puṇyam karmāpuṇyam karmāniṃjyaṃ karma iti |  tatra puṇyaṃ katamat | yat kāmapratisaṃyuktaṃ kuśalaṃ |  apuṇyaṃ katamat | yad akuśalaṃ | āniṃjyaṃ karma katamat | yad rūpārūpyapratisaṃyuktaṃ kuśalaṃ ||  yad uktam avidyāpratyayāḥ saṃskārāḥ puṇyā apuṇyā āniṃjyāś ceti |  tatra kathaṃ puṇyāpuṇyā āniṃjyāś ca saṃskārā avidyāpratyayāḥ saṃbhavanti |,或有業由一業力牽得一身。或有業由一業力牽得多身。或有業由多業力牽得一身。或:有業由多業力牽得多身。  若一有情成就多業。云何次第受異熟果。  於彼身中重者先熟。或將死時現在前者。或先所數習者。或最初所行者。彼異熟先熟  如契經言。有三種業。謂福業非福業不動業。  何等福業。謂欲界繫善業。  何等非福業。謂不善業。  何等不動業。謂色無色界繫善業。  如契經說。無明緣行。若福非福及與不動。  云何福及不動行緣無明生。,ལས་གཅིག་གིས་ལུས་གཅིག་འཕེན༤༧པའི་ལས་ཀྱང་ཡོད་། ལས་གཅིག་གིས་ལུས་དུ་མ་འཕེན༤༨པའི་ལས་ཀྱང་ཡོད་། ལས༤༩དུ་མས་ལུས་གཅིག་འཕེན༔་པའི་ལས་ཀྱང་ཡོད་། ལས༥༠དུ་མས་ལུས༥༡དུ་མ་འཕེན་པའི་ལས་ཀྱང་ཡོད༥༢། ལས་མང་པོ་དང་ལྡན་པའི་སེམས་ཅན༥༣ཇི་ལྟར་རིམ་གྱིས་རྣམ་པར་སྨིན་པ་མྱོང་བར་འགྱུར་ཞེ་ན༥༤། དེ་ལ་གང་ཤིན་ཏུ་ལྕི་བར་གྱུར་པ་དེ་ཐོག་མར་རྣམ་པར་སྨིན་པར་འགྱུར་རོ་༎ ཡང་ན་འཆི་བའི་དུས་ན་གང་མངོན༥༥དུ་གྱུར་པའོ་༎ ཡང་ན་གང༥༦གོམས་པར་གྱུར་པའོ་༎ ཡང་ན་གང་ཐོག་མར་སྤྱད་པ་དེ་ཐོག་མ་ཉིད་དུ་རྣམ་པར་སྨིན༥༧པར་འགྱུར་རོ་༎༔ བསོད༥༨ནམས་ཀྱི་ལས་དང་།  བསོད༥༩ནམས་མ༔་ཡིན་པའི་ལས་དང་། མི་གཡོ་བའི་ལས་ཤེས༦༠གང་འབྱུང་བ༦༡ དེ་ལ༦༢། བསོད༦༣ནམས་གང་ཞེ་ན༦༤། གང་འདོད་པ་དང་རབ་ཏུ་ལྡན་པའི་དགེ་བའོ་༎ བསོད༦༥ནམས༔་མ་ཡིན་པ་གང་ཞེ་ན༦༦། གང་མི་དགེ་བའོ་༎ མི་གཡོ་བའི་ལས་གང་ཞེ་ན༦༧། གང་གཟུགས་དང་གཟུགས་མེད་པ་དང་རབ་ཏུ་ལྡན་པའི་དགེ་བའོ་༎ མ་རིག་པའི་རྐྱེན་གྱིས༦༨བསོད་ནམས་དང་བསོད༦༩ནམས་མ་ཡིན་པ་དང་མི༔་གཡོ་བའི་འདུ་བྱེད་རྣམས་སོ་ཞེས་གང་གསུངས་པ དེ་ལ་། ཇི་ལྟར་ན༧༠བསོད༧༡ནམས་དང་བསོད༧༢ནམས་མ་ཡིན་པ་དང་མི་གཡོ་བའི་འདུ་བྱེད་རྣམས་མ་རིག་པའི་རྐྱེན་ལས་འབྱུང༧༣བ་ཡིན་ཞེ་ན༧༤།,"There is the case that action entails a single existence through a single action. There is also the case that action entails many existences through a single action. There is also the case that action entails a single existence through many actions. There is also the case that action entails many existences through one action.  How does a living being that is furnished with many karmas experience the fruit of their ripening successively?  Here, what is most heavy ripens first, or, what has become manifest at the time of death, or that which has been frequently cultivated, or what has been done first will ripen as the very first.  As for what is said in the sūtra:""meritorious, demeritorious and immovable action"".  What is meritorious? That which is wholesome, connected with the realm of desire.  What is demeritorious? That which is unwholesome.  What is the immovable action? That which is wholesome, connected with the both the material and immaterial realms.  It has been said in the sūtra: ""ignorance is the condition of the impulses (saṃskārāḥ); they are meritorious, demeritorious and immovable.""  How do meritorious, demeritorious and immovable impulses come about with ignorance as their condition?"
a278592104b14c9391edc9cb5c8b79b9,dvividhaḥ saṃmohaḥ | phalavipākasaṃmohas tattvārthasaṃmohaś ca | phalavipākasaṃmūḍhasyāpuṇyāḥ saṃskārāḥ saṃbhavanti tattvārthasaṃmūḍhasya puṇyāniṃjyāḥ |,有二種愚。一異熟果愚。二眞實義愚。  由異熟果愚故發非福行。由眞實義愚故發福及不動行,རྨོངས་པ་ནི༔་གཉིས་ཏེ་། འབྲས་བུ་རྣམ་པར་སྨིན་པ་ལ་རྨོངས་པ་དང་། དེ་ཁོ་ནའི་དོན་ལ་རྨོངས་པའོ་༎ འབྲས་བུ་རྣམ་པར་སྨིན་པ་ལ་རྨོངས་པའི༧༥ནི་མི་དགེ་བའི་འདུ་བྱེད་རྣམས་འབྱུང་ངོ་༎ དེ་ཁོ་ནའི་དོན་ལ་རྨོངས་པའི༧༦ནི༔་བསོད་ནམས་དང་མི་གཡོ་བ་རྣམས་སོ་༎,"There are two kinds of bewilderment. Bewilderment with regard to the ripening of the fruit and bewilderment with regard to true reality.  For someone who is bewildered with regard to the ripening of the fruit, demeritorious impulses come about. For someone who is bewildered with regard to true reality, meritorious and immovable impulses come about."
