id,P001809,P001810,P001811
31aaba37698a434f851fb10bad63eaba,(Nirvikalpapraveśadhāraṇī),༼༡ཨ༡༽ འཕགས་པ་རྣམ་པར་མི་རྟོག་པར་འཇུག་པ་ཞེས་བྱ་བའི་གཟུངས་།༼༡བ༡༽ ༎ རྒྱ་གར་སྐད་དུ་། ཨཱརྱ་ཨ་བི་ཀལྤ་པྲ་བེ་ཤ་ནཱ་མ་དྷཱ་ར་ངī་།བོད་སྐད་དུ་། འཕགས་པ་རྣམ་པར་མི་རྟོག་པར་འཇུག་པ་ཞེས་བྱ་བའི་གཟུངས་།སངས་རྒྱས་དང་བྱང་ཆུབ ༼༢༽ སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎,(敦煌本入無分別總持經)
bf774894788948fa9a1127e228cf3e98,§1 (1v1)(... evaṃ mayā śrutam ekasmin sa)maye bhagavān rājagṛhe virahati sma |  sarvatraidhātukaprativiśiṣṭanirvikalpadharmadhātugarbhe prāsāde mahatā bhikṣusaṃghena sārdhaṃ mahatā ca bodhisattvasaṃghena |  tad yathā avi(ka)lpena ca bodhisattvena mahāsattvena |  avikalpaprabhāsena ca bodhisattvena mahāsattvena |  avikalpaca(2)(ndreṇa ca bodhisattvena mahāsattvena |  nirvikalpasūre)ṇa ca |  nirvikalpadharmanirdeśakuśalena ca |  nirvikalpasvabhāvena ca |  nirvikalpamatinā ca |  nirvikalpanādena ca |  nirvikalpaspharaṇena ca |  nirvikalpasvareṇa ca |  maheśvareṇa ca |  nirvikalpamahāmaitrīsvareṇa ca |  avalokiteśvareṇa (ca) bodhisattvena sārdhan (|),འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་། ཁམས་གསུམ་པ་ཐམས་ཅད་ལས་ཁྱད་པར་དུ་འཕགས་པ ༼༣༽ རྣམ་པར་མི་རྟོག་པའི་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་ཁང་བཟངས་ན་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ་། འདི་ལྟ་སྟེ་། བྱང་ཆུབ ༼༤༽ སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་མི་རྟོག་པ་དང་། རྣམ་པར་མི་རྟོག་སྣང་བ་དང་། རྣམ་པར་མི་རྟོག་ཟླ་བ་དང་། རྣམ་པར་རྟོག་མེད་དཔའ་བོ་དང་། རྣམ་པར་རྟོག་མེད་ཆོས་སྟོན་མཁས་པ་དང་།  ༼༥༽ རྣམ་པར་རྟོག་མེད་ངོ་བོ་ཉིད་དང་༎ རྣམ་པར་རྟོག་མེད་བློ་གྲོས་དང་། རྣམ་པར་རྟོག་མེད་ང་རོ་དང་། རྣམ་པར་རྟོག་མེད་ཁྱབ་བྱེད་དང་། རྣམ་པར་རྟོག་མེད་དབང་ཕྱུག་དང་། རྣམ་པར་རྟོག་མེད་དབང་ཕྱུག ༼༢ཨ༡༽ ཆེན་པོ་དང་། རྣམ་པར་རྟོག་མེད་བྱམས་པ་ཆེན་པོའི་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་ཐབས་ཅིག་གོ་༎,                            
60e5a36d6f3a43d28ba284a002dddda7,§2 tatra khalu bhagavā(3)(n anekaśatasahasrayā parṣadā parivṛtaḥ puraskṛto) dharmaṃ deśayati sma | yad uta dharmāṇāṃ nirvikalpatām ārabhya |  atha khalu bhagavān samantāṃ sarvāvatīṃ bodhisattvaparṣadam avalokya bodhisattvān āmantrayate sma |  dhārayata yūyaṃ kulaputrā avikalpapraveśāṃ nāma dhāraṇīṃ yām avikalpapraveśāṃ dhāraṇīṃ dhārayan bodhisattvo ma(4)(hāsattvo buddhadharmān laghulaghu saṃpādayati ya)thākālaṃ ca viśeṣāya paraiti |,དེ་ནས་བཅོམ་ལྡན་འདས་འཁོར་བརྒྱ་སྟོང་དུ་མས་ཡོངས་སུ་བསྐོར་ཏེ་མདུན ༼༢༽ གྱིས་བལྟས་ནས་། འདི་ལྟ་སྟེ་། ཐེག་པ་ཆེན་པོ་ལ་ཆོས་རྣམས་ཀྱི་རྣམ་པར་མི་རྟོག་པ་ཉིད་ལས་བརྩམས་ཏེ་ཆོས་སྟོན་ཏོ་༎ དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཐམས་ཅད་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའི་འཁོར་ལ་ཀུན་ཏུ་གཟིགས་ནས་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་བཀའ ༼༣༽ སྩལ་པ་། རིགས་ཀྱི་བུ་དག་ཁྱོད་ཀྱིས་རྣམ་པར་མི་རྟོག་པར་འཇུག་པ་ཞེས་བྱ་བའི་གཟུངས་ཟུང་ཤིག་། དེ་བཟུང་ན་བྱང་ཆུབ་སེམས་དཔའ་མྱུར་བར་མྱུར་བར་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་བསྒྲུབ་ཅིང་རྟག་ཏུ་ཁྱད་པར་དུ་ཡང་འགྲོའོ་༎,(1r1)(...)上首(...)世尊，百千眾會前後圍繞，猶依諸法無分別而顯於法。  爾時世尊，觀諸菩薩摩訶薩大眾會已，而(5)告之言：  汝等善男子，應當受持入無分別總持。若能持者，彼菩薩摩訶薩，便能速疾證得圓滿諸佛殊勝妙法。
20a31c887e904e9884308445ef3e50d1,§3 atha tasyām eva parṣady avikalpaprabhāso nāma bodhisattvo mahāsattvaḥ |  sa utthāyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā dakṣiṇañ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ praṇamya bhagavantam etad avocat |  ni(5)(rvikalpapraveśāṃ nāma dhāraṇīṃ deśayatu bhagavan 1 |) yāṃ śrutvā bodhisattvā mahāsattvā dhārayiṣyanti | vācayiṣyanti | yoniśaś ca manasikariṣyanti | parebhyaś ca vistareṇa saṃprakāśayiṣyanti |  evam ukte bhagavān āha |  tena hi kulaputrāḥ 2 śṛṇu sādhu ca suṣṭhu ca manasikuru (|)  bhāṣiṣye 'haṃ a(6)(vikalpapraveśāṃ dhāraṇīṃ |  sādhu bhagavann iti te bo)dhisattvā bhagavataḥ pratyaśrauṣuḥ |,དེ་ནས་འཁོར་དེ་ཉིད་ཀྱིས་བྱང་ཆུབ་སེམས ༼༤༽ དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་མི་རྟོག་སྣང་བ་ཞེས་བྱ བསྟན་ལས་ལངས་ཏེ་། བླ་གྲོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ངས་ལ་བཙུགས་ཏེ་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད ༼༥༽ ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་གང་ཐོས་ནས་འཛིན་པ་དང་། ཀློག་པ་དང་། ཚུལ་བཞིན་ཡིད་ལ་བགྱིད་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་སྟོན་པར་འགྱུར་བར་རྣམ་པར་མི་རྟོག་པར་འཇུག་པའི་གཟུངས་བཤད་དུ ༼༦༽ གསོལ་། དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། རིགས་ཀྱི་བུ་དག་དེའི་ཕྱིར་ལེགས་པར་ཉོན་ལ་རབ་ཏུ་ཡིད་ལ་ཟུང་ཤིག་དང་། ངས་རྣམ་པར་མི་རྟོག་པར་འཇུག་པའི་གཟུངས་བཤད་དོ་༎ བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས ༼༢བ༡༽ གསོལ་ཏོ་༎ བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་།,爾時無分別照明菩薩摩訶薩，在大眾中，  即從座起，偏覆右肩，右膝著地，合掌向佛恭(10)敬而白佛言：  「世尊，唯願世尊為諸菩薩摩訶薩，說無分別總持。令諸菩薩摩訶薩聞已受持、讀誦、如理作意，復為有情輾轉宣揚而當解說。」  作是語已，爾時世尊告無分別照明菩薩摩訶薩言：  「善男子，諦聽諦聽！(15)善思念之！  我當為汝說無分別總持根本之法。」  「善哉！世尊！」彼諸菩薩一心而聽受之。
fe4f730e9c58438583affa55575e936b,§4 bhagavāṃs teṣām etad avocat |  iha kulaputrā bodhisattvo mahāsattvo ’vikalpādhipateyaṃ dharmaṃ śrutvā avikalpam āśayaṃ sanniveśya sarvavikalpanimittāni parivarjayati |  sa tatprathamataḥ prakṛtivikalpanimittāni pariva(7)(rjayati sarvani | yad uta grāhyaṃ vā grāhakam vā |  tatredaṃ) prakṛtivikalpanimittaṃ yat sāsrave vastuni nimittaṃ |  sāsravaṃ punar vastu pañcopādānaskandhaḥ 3|  yad uta rūpopādānaskandhaḥ |  vedanopādānaskandhaḥ |  saṃjñopādānaskandhaḥ |  saṃskāropādānaskandhaḥ |  vijñānopādānaskandhaś ca |  kathaṃ punas tāni vikalpanimittā(8)(ni parivarjayati |  ābhāsagamanayogenāmukhībhūtāny ama) nasikārataḥ |,བཅོམ་ལྡན་འདས་ཀྱིས་དེ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ རིགས་ཀྱི་བུ་དེ་དག་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་མི་རྟོག་པའི་དབང་དུ་བྱ་བའི་ཆོས་ཐོས ༼༢༽ ཏེ་། རྣམ་པར་མི་རྟོག་པ་ལ་བསམ་པ་བཞག་ནས་རྣམ་པར་རྟོག་པའི་མཚན་མ་ཐམས་ཅད་ཡོངས་སུ་སྤོང་སྟེ་། དེ་ཐོག་མ་ཉིད་དུ་འདི་ལྟ་སྟེ་། གཟུང་བའམ་འཛིན་པའང་རུང་རང་བཞིན་ལ་རྣམ་པར་རྟོག་པའི་མཚན་མ་ཐམས་ཅད་ཡོངས་སུ་སྤོང་ངོ་༎ དེ་ལ་གང་ཟག་པ་དང་བཅས་པའི་དངོས ༼༣༽ པོའི་མཚན་མ་དེ་ནི་རང་བཞིན་ལ་རྣམ་པར་རྟོག་པའི་མཚན་མའོ་༎ ཟག་པ་དང་བཅས་པའི་དངོས་པོ་ནི་ཉེ་བར་ལེན་པའི་ཕུང་པོ་ལྔ་པོ་རྣམས་ཏེ་། འདི་ལྟ་སྟེ་། གཟུགས་ཉེ་བར་ལེན་པའི་ཕུང་པོ་དང་། ཚོར་བ་ཉེ་བར་ལེན་པའི་ཕུང་པོ་དང་། འདུ་ཤེས་ཉེ་བར་ལེན་པའི་ཕུང་པོ་དང་།  ༼༤༽ འདུ་བྱེད་ཉེ་བར་ལེན་པའི་ཕུང་པོ་དང་། རྣམ་པར་ཤེས་པ་ཉེ་བར་ལེན་པའི་ཕུང་པོའོ་༎ ཇི་ལྟར་རང་བཞིན་ལ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དེ་དག་ཡོངས་སུ་སྤོང་ཞེ་ན་། སྣང་བར་འགྱུར་བའི་ཚུལ་གྱིས་མངོན་དུ་གྱུར་པ་དག་ཡིད་ལ་མི་བྱེད་པས་ཡོངས་སུ་སྤོང་ངོ་༎,爾時世尊告諸菩薩摩訶薩言：  善男子！諸菩薩摩訶薩聞無分別法已，安住無分別心想，  所謂能遍除遣能取所取之想，  此中有漏(20)體性自性，而有分別之想。  有漏體性者，即是五取蘊。  所謂色取蘊、  受取蘊、  想取蘊、  行取蘊、  識取蘊。  云何復能舍彼相耶？  現前諸法無作意故。
d2eb1dc47e6f46b7b903ef8db76dc98a,§5 tasya tāni kramaśo vikalpanimittāni parivarjayataḥ |  tadanyāni pratipakṣanirūpaṇavikalpanimittāni samudācaranty āmukhībhavanty ābhāsakaraṇayogena (|)  yad uta dānanirūpaṇavikalpanimittaṃ |  śīlanirūpaṇavikalpanimi(2r1)(ttaṃ |  kṣāntinirūpaṇavikalpanimittaṃ |  vīryanirū)paṇavikalpanimittaṃ |  dhyānanirūpaṇavikalpanimittaṃ |  prajñānirūpaṇavikalpanimittaṃ |  yad uta svabhāvanirūpaṇato vā |  guṇanirūpaṇato vā |  sāranirūpaṇato vā |  sa tāny api pratipakṣanirūpaṇavikalpanimittāni amanasikārataḥ parivarjayati |,དེ་རང་བཞིན་ལ་རྣམ་པར ༼༥༽ རྟོག་པའི་མཚན་མ་དེ་དག་རིམ་གྱིས་ཡོངས་སུ་སྤོང་བ་ན་། དེ་མ་ཡིན་པ་གཞན་གཉེན་པོ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་རྣམས་སྣང་བར་འགྱུར་བའི་ཚུལ་གྱིས་ཀུན་ཏུ་འབྱུང་ཞིང་མངོན་དུ་འགྱུར་ཏེ་། འདི་ལྟ་སྟེ་། སྦྱིན་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། ཚུལ་ཁྲིམས་ལ ༼༦༽ དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། བཟོད་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། བརྩོན་འགྲུས་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། བསམ་གཏན་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། ཤེས་རབ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་སྟེ་། འདི་ལྟ་སྟེ་། ༼༧༽ ངོ་བོ་ཉིད་ལ་དཔྱོད་པའམ་། ཡོན་ཏན་ལ་དཔྱོད་པའམ་། སྙིང་པོ་ལ་དཔྱོད་པའང་རུང་། དེས་དེ་དག་ཀྱང་ཡིད་ལ་མི་བྱེད་པས་ཡོངས་སུ་སྤོང་ངོ་༎,彼便次第能捨分別諸相，  彼時有異對治相，分明顯現、現前而行。  所謂分別布(25)施想、  分別持戒想、  分別忍辱想、  於精進起分別想、  於禪定起分別想、  於智慧起分別想。  所謂或自性想、  或功德想、  或堅實之想，  彼亦不作意故，能遍除遣。
31f79dd708b74324aa16f1945955eb61,§6 tasya tāni pari(2)(varjayataḥ tadanyāni tattvanirūpaṇavikalpani)mittāni samudācaranty āmukhībhavanty ābhāsagamanayogena |  yad uta śūnyatānirūpaṇavikalpanimittaṃ |  tathatānirūpaṇavikalpanimittaṃ |  bhūtakoṭinirūpaṇavikalpanimittaṃ (|)  (animitta)paramārthadharmadhātunirūpaṇavikalpanimittaṃ |  yad uta svalakṣaṇanirūpaṇato vā | guṇanirū(pa)ṇato vā (3)(sāranirūpaṇato vā |  sa tāny api tattvanirūpaṇa)vikalpanimittāni amanasikārataḥ parivarjayati |,དེས་དེ་དག་ཡོངས་སུ་སྤོང་བ་ན་གཞན་དེ་ཁོ་ན་ལ་དཔྱོད་པའི་རྣམ་པར་རྟོག་པའི་མཚན་མ་རྣམས་སྣང་བར་འགྱུར་བའི་ཚུལ་གྱིས་ཀུན་ཏུ་འབྱུང་ཞིང ༼༣ཨ༡༽ མངོན་དུ་འགྱུར་ཏེ་། འདི་ལྟ་སྟེ་། སྟོང་པ་ཉིད་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། དེ་བཞིན་ཉིད་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། ཡང་དག་པའི་མཐའ་ལ་དཔྱོད་པའི་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། མཚན་མ་མེད་པ་དང་། དོན་དམ་པ་དང་། ༼༢༽ ཆོས་ཀྱི་དབྱིངས་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་སྟེ་། འདི་ལྟ་སྟེ་། རང་གི་མཚན་ཉིད་ལ་དཔྱོད་པའམ་། ཡོན་ཏན་ལ་དཔྱོད་པའམ་། སྙིང་པོ་ལ་དཔྱོད་པའང་རུང་། དེས་དེ་ཁོ་ན་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དེ་དག་ཀྱང་ཡིད་ལ་མི་བྱེད་པས་ཡོངས་སུ་སྤོང་ངོ་༎,彼能遍遣彼想之時，有餘真實之想，現前而行。  彼亦所謂分別空想、  (30)於真如起分別想、  實際、  無想、勝義、法界中，而起分別之想。  所謂或我想、或功德、或堅實之想，於真實中，而起如是分別之實。  彼亦由不作意無念故，遍能除遣。
2e8a51797c844e6bb84aedfabdb474b3,§7 tasya tāny api parivarjayato ’parāṇi prāptinirūpaṇavikalpanimittāni samudācaranty āmukhībhavanty ābhāsagamanayogena |  tad yathā prathamabhūmiprāptinirūpaṇavikalpanimittaṃ | yāvad deśa(ma)bhūmiprāptinirūpaṇavika(4)(lpanimittam |  anutpattikadharmakṣāntiprāptinirū)paṇavikalpanimittaṃ |  vyākaraṇaprāptinirūpaṇavikalpanimittaṃ |  buddhakṣetrapariśuddhiprāptinirūpaṇavikalpanimittaṃ |  sattvaparipākaprāptinirupaṇavikalpanimittaṃ |  abhiṣekaprāptinirūpaṇavikalpanimittaṃ |  yāvat sarvākārajñāprāptinirūpaṇavikalpanimittaṃ (5)(|  yad uta svalakṣaṇanirūpaṇato vā guṇanirūpaṇato v)ā sāranirūpaṇato vā |  sa tāny api prāptinirūpaṇavikalpanimittāny amanasikārataḥ parivarjayati |,༼༣༽ དེས་དེ་དག་ཡོངས་སུ་སྤོང་བ་ན་གཞན་ཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་རྣམས་སྣང་བར་འགྱུར་བའི་ཚུལ་གྱིས་ཀུན་ཏུ་འབྱུང་ཞིང་མངོན་དུ་འགྱུར་ཏེ་། འདི་ལྟ་སྟེ་། ས་དང་པོ་ཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་ནས་ས་བཅུ་པའི་བར་དུ་འཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར ༼༤༽ རྟོག་པའི་མཚན་མ་དང་། མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། ལུང་བསྟན་པ་འཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་དག་པ་འཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། སེམས ༼༥༽ ཅན་ཡོངས་སུ་སྨིན་པར་བྱེད་པ་འཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དང་། དབང་བསྐུར་བ་འཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་ནས་། རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་འཐོབ་པའི་བར་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་སྟེ་། འདི་ལྟ་སྟེ་། རང་གི་མཚན ༼༦༽ ཉིད་ལ་དཔྱོད་པའམ་། ཡོན་ཏན་ལ་དཔྱོད་པའམ་། སྙིང་པོ་ལ་དཔྱོད་པའང་རུང་། དེས་འཐོབ་པ་ལ་དཔྱོད་པ་རྣམ་པར་རྟོག་པའི་མཚན་མ་དེ་དག་ཀྱང་ཡིད་ལ་མི་བྱེད་པས་ཡོངས་སུ་སྤོང་ངོ་༎,彼若遣除如是諸想之時，有餘證得分別之想，分明顯現、現前(35)而行。  於初地得分別之想，乃至十地證得之想，  於無生法忍中起分別想、  於記別想、  嚴淨佛土想、  成熟有情想、  灌頂之想、  乃至起於證得一切種智之想分別行想。  所謂我想、功德想、或堅實想。  彼證得中起如是分別之想，彼亦(40)由不作意無念故，能捨如是諸想。
